Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
1,2018-01-01,1,1,1,q1,2018,monday,True
2,2018-01-02,2,1,1,q1,2018,tuesday,False
3,2018-01-03,3,1,1,q1,2018,wednesday,False
4,2018-01-04,4,1,1,q1,2018,thursday,False
5,2018-01-05,5,1,1,q1,2018,friday,False
6,2018-01-06,6,1,1,q1,2018,saturday,False
7,2018-01-07,7,1,1,q1,2018,sunday,False
8,2018-01-08,8,2,1,q1,2018,monday,False
9,2018-01-09,9,2,1,q1,2018,tuesday,False
10,2018-01-10,10,2,1,q1,2018,wednesday,False
11,2018-01-11,11,2,1,q1,2018,thursday,False
12,2018-01-12,12,2,1,q1,2018,friday,False
13,2018-01-13,13,2,1,q1,2018,saturday,False
14,2018-01-14,14,2,1,q1,2018,sunday,False
15,2018-01-15,15,3,1,q1,2018,monday,True
16,2018-01-16,16,3,1,q1,2018,tuesday,False
17,2018-01-17,17,3,1,q1,2018,wednesday,False
18,2018-01-18,18,3,1,q1,2018,thursday,False
19,2018-01-19,19,3,1,q1,2018,friday,False
20,2018-01-20,20,3,1,q1,2018,saturday,False
21,2018-01-21,21,3,1,q1,2018,sunday,False
22,2018-01-22,22,4,1,q1,2018,monday,False
23,2018-01-23,23,4,1,q1,2018,tuesday,False
24,2018-01-24,24,4,1,q1,2018,wednesday,False
25,2018-01-25,25,4,1,q1,2018,thursday,False
26,2018-01-26,26,4,1,q1,2018,friday,False
27,2018-01-27,27,4,1,q1,2018,saturday,False
28,2018-01-28,28,4,1,q1,2018,sunday,False
29,2018-01-29,29,5,1,q1,2018,monday,False
30,2018-01-30,30,5,1,q1,2018,tuesday,False
31,2018-01-31,31,5,1,q1,2018,wednesday,False
32,2018-02-01,1,5,2,q1,2018,thursday,False
33,2018-02-02,2,5,2,q1,2018,friday,False
34,2018-02-03,3,5,2,q1,2018,saturday,False
35,2018-02-04,4,5,2,q1,2018,sunday,False
36,2018-02-05,5,6,2,q1,2018,monday,False
37,2018-02-06,6,6,2,q1,2018,tuesday,False
38,2018-02-07,7,6,2,q1,2018,wednesday,False
39,2018-02-08,8,6,2,q1,2018,thursday,False
40,2018-02-09,9,6,2,q1,2018,friday,False
41,2018-02-10,10,6,2,q1,2018,saturday,False
42,2018-02-11,11,6,2,q1,2018,sunday,False
43,2018-02-12,12,7,2,q1,2018,monday,False
44,2018-02-13,13,7,2,q1,2018,tuesday,False
45,2018-02-14,14,7,2,q1,2018,wednesday,False
46,2018-02-15,15,7,2,q1,2018,thursday,False
47,2018-02-16,16,7,2,q1,2018,friday,False
48,2018-02-17,17,7,2,q1,2018,saturday,False
49,2018-02-18,18,7,2,q1,2018,sunday,False
